method,n_patches,seconds_total,seconds_per_patch,iou_mean,iou_std,dice_mean,dice_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_pred_mean,n_pred_std,n_gt_mean,n_gt_std,count_err_mean,count_err_std,area_ratio_pred_mean,area_ratio_pred_std,area_ratio_gt_mean,area_ratio_gt_std,area_abs_error_mean,area_abs_error_std
K-Means,300,24.833542717,0.08277847572333333,0.22999770580008946,0.15678137985420534,0.34692114822873094,0.21431111414613324,0.3473359594114851,0.2589773114853023,0.4693318958188256,0.2563097011791577,0.34692114822873094,0.21431111414613327,22.886666666666667,12.067331473399118,15.766666666666667,17.938568009242605,15.6,13.707662090962133,34.40032831827799,13.066583622392457,22.526926676432293,17.621634775118824,20.092533111572266,15.243768753919223
Otsu,300,2.235840073997906,0.007452800246659687,0.2232668240474148,0.17285934966028918,0.3331080627992291,0.228300516587161,0.23339231955370954,0.1856899149871497,0.801579864403201,0.3082056199132026,0.3331080627992291,0.228300516587161,1.8233333333333333,2.507081082764486,15.766666666666667,17.938568009242605,15.036666666666667,17.660935862959107,87.21768315633138,9.588141874675275,22.526926676432293,17.621634775118824,64.6907564798991,20.502618938879877
SVM,300,16.952437343998326,0.05650812447999442,0.29521721076182245,0.2069779384353366,0.415963443387159,0.2534178399746743,0.3150059275662035,0.22339051823243322,0.7743656544329984,0.3078884320675182,0.41596344338715896,0.2534178399746743,8.393333333333333,9.246906990388132,15.766666666666667,17.938568009242605,16.293333333333333,17.134972684217757,56.80728658040365,21.83353396827762,22.526926676432293,17.621634775118824,34.43588002522787,18.207006021744167
U-Net,300,11.87360029599131,0.03957866765330437,0.5441143769426071,0.24629635814877912,0.6646815849714551,0.25696985562885516,0.6981563939837213,0.2640750196815286,0.6734550827238283,0.27203105850570586,0.6646815849714551,0.25696985562885516,11.456666666666667,7.647316886042815,15.766666666666667,17.938568009242605,8.216666666666667,11.990123250223736,21.268335978190105,16.719879804955728,22.526926676432293,17.621634775118824,5.258344014485677,6.963832256813794
