method,patch_id,split,image_name,city,x,y,seconds,iou,dice,precision,recall,f1,n_pred,n_gt,count_err,area_ratio_pred,area_ratio_gt,area_abs_error,selected_c,threshold
K-Means,test_austin3_2560_3072,test,austin3.tif,austin,3072,2560,0.08278196700007356,0.1413314405506677,0.2476606453292452,0.47765690376569037,0.16716779257292358,0.24766064532924517,29.0,40.0,11.0,6.8378448486328125,19.538116455078125,12.700271606445312,,
K-Means,test_austin3_3072_0,test,austin3.tif,austin,0,3072,0.08383300899993174,0.029937282577523972,0.058134185612939156,0.030798240100565682,0.5171225500753823,0.058134185612939156,50.0,6.0,44.0,29.738998413085938,1.7711639404296875,27.96783447265625,,
K-Means,test_austin3_3072_3072,test,austin3.tif,austin,3072,3072,0.08206833899998855,0.29852234976150066,0.4597877731042984,0.34358827178210033,0.6947470889962185,0.45978777310429847,29.0,51.0,22.0,41.20368957519531,20.377349853515625,20.826339721679688,,
K-Means,test_austin3_4096_1024,test,austin3.tif,austin,1024,4096,0.07929816299997583,0.21365533009431267,0.3520856783576431,0.2317933771549051,0.7319313086216688,0.3520856783576431,5.0,32.0,27.0,61.51580810546875,19.481277465820312,42.03453063964844,,
K-Means,test_austin3_4096_4096,test,austin3.tif,austin,4096,4096,0.08277017099999284,0.2957660709936004,0.45651152258803224,0.40461368352493904,0.5236816310527348,0.45651152258803224,42.0,33.0,9.0,25.185012817382812,19.458770751953125,5.7262420654296875,,
K-Means,test_austin30_512_1024,test,austin30.tif,austin,1024,512,0.08300657799998135,0.28663119856940394,0.44555300522497376,0.346417361671599,0.624175930713547,0.44555300522497376,26.0,64.0,38.0,42.537689208984375,23.6083984375,18.929290771484375,,
K-Means,test_austin30_512_2560,test,austin30.tif,austin,2560,512,0.08166764899999635,0.17262721442861548,0.2944281222617391,0.3595699412068336,0.24926906326639262,0.29442812226173903,26.0,1.0,25.0,30.300521850585938,43.70841979980469,13.40789794921875,,
K-Means,test_austin30_512_3072,test,austin30.tif,austin,3072,512,0.079678629,0.1679261426528573,0.2875629485806792,0.17415207436180644,0.8244763667342323,0.2875629485806792,4.0,34.0,30.0,61.476898193359375,12.985610961914062,48.49128723144531,,
K-Means,test_austin30_1536_1536,test,austin30.tif,austin,1536,1536,0.08112791300004574,0.10265054065509457,0.18618870960532785,0.10745055149145162,0.6967750568714037,0.18618870960532782,19.0,16.0,3.0,36.97166442871094,5.701446533203125,31.270217895507812,,
K-Means,test_austin30_1536_3584,test,austin30.tif,austin,3584,1536,0.08188098300001911,0.5740961625467856,0.729429594209715,0.7544864864864865,0.7059835112032775,0.7294295942097151,26.0,19.0,7.0,21.17156982421875,22.626113891601562,1.4545440673828125,,
K-Means,test_austin30_1536_4096,test,austin30.tif,austin,4096,1536,0.08360462699999971,0.2658199228620827,0.4199964277083749,0.316781310425714,0.622977901069102,0.4199964277083749,48.0,22.0,26.0,24.068450927734375,12.238693237304688,11.829757690429688,,
K-Means,test_austin30_2048_2048,test,austin30.tif,austin,2048,2048,0.0833461269999134,0.3275431436677066,0.4934576254339692,0.41539068383117583,0.6076586815876902,0.49345762543396915,46.0,57.0,11.0,31.914138793945312,21.816253662109375,10.097885131835938,,
K-Means,test_austin30_2048_4096,test,austin30.tif,austin,4096,2048,0.08232940799996413,0.2884253159183962,0.44771755468465807,0.326630347700689,0.7114717623192199,0.44771755468465807,31.0,39.0,8.0,38.092041015625,17.487716674804688,20.604324340820312,,
K-Means,test_austin30_3072_512,test,austin30.tif,austin,512,3072,0.08188757299990357,0.2493424600705248,0.39915790592188716,0.40728593500121973,0.39134794442057014,0.39915790592188716,21.0,5.0,16.0,28.147125244140625,29.293441772460938,1.1463165283203125,,
K-Means,test_austin30_3072_1024,test,austin30.tif,austin,1024,3072,0.10435279300008915,0.21939776813213574,0.35984610414402773,0.2923865523758615,0.4677702609837668,0.35984610414402773,28.0,30.0,2.0,39.963531494140625,24.979782104492188,14.983749389648438,,
K-Means,test_austin30_3072_2560,test,austin30.tif,austin,2560,3072,0.08195321100004094,0.3000638272553198,0.4616139930434204,0.4041114850590789,0.5381958592855618,0.4616139930434203,44.0,41.0,3.0,26.182937622070312,19.659805297851562,6.52313232421875,,
K-Means,test_austin30_3584_512,test,austin30.tif,austin,512,3584,0.0839832069999602,0.2605681907257478,0.41341387581060673,0.33916364219394524,0.5292859904920046,0.41341387581060673,26.0,9.0,17.0,26.171493530273438,16.770553588867188,9.40093994140625,,
